	updated_name	updated_smiles	status
41	GMP(2-)	C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])[O-])O)O)N=C(NC2=O)N	core
42	GTP(4-)	C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N=C(NC2=O)N	core
43	guanosine	C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=C(NC2=O)N	core
44	hydrocortisone	C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O	core
45	imp	C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O	core
46	inosine	C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O	core
47	isobutyrl_coa	CC(C)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	core
48	isocitrate(3-)	C(C(C(C(=O)[O-])O)C(=O)[O-])C(=O)[O-]	core
49	2-oxoglutarate(2-)	C(CC(=O)[O-])C(=O)C(=O)[O-]	core
50	l_alanine	C[C@@H](C(=O)O)N	core
51	l_arginine	C(C[C@@H](C(=O)O)N)CN=C(N)N	core
52	L-ascorbate(1-)	C([C@@H]([C@@H]1C(=C(C(=O)O1)[O-])O)O)O	core
53	L-asparagine zwitterion	C([C@@H](C(=O)[O-])[NH3+])C(=O)N	core
54	L-aspartate(1-)	C([C@@H](C(=O)[O-])[NH3+])C(=O)[O-]	core
55	l_carnosine	C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CCN	core
56	l_citrulline	C(C[C@@H](C(=O)O)N)CNC(=O)N	core
57	l_cysteine	C([C@@H](C(=O)O)N)S	core
58	l_gluconolactone	C([C@H]1[C@H]([C@H]([C@@H](C(=O)O1)O)O)O)O	core
59	L-glutamate(1-)	C(CC(=O)[O-])[C@@H](C(=O)[O-])[NH3+]	core
60	L-glutamine zwitterion	C(CC(=O)N)[C@@H](C(=O)[O-])[NH3+]	core
61	L-histidine zwitterion	C1=C(NC=N1)C[C@@H](C(=O)[O-])[NH3+]	core
62	(S)-2-hydroxyglutarate(2-)	C(CC(=O)[O-])[C@@H](C(=O)[O-])O	core
63	L-isoleucine zwitterion	CC[C@H](C)[C@@H](C(=O)[O-])[NH3+]	core
64	L-leucine zwitterion	CC(C)C[C@@H](C(=O)[O-])[NH3+]	core
65	L-lysine zwitterion	C(CCN)C[C@@H](C(=O)[O-])[NH3+]	core
66	(S)-malate(2-)	C([C@@H](C(=O)[O-])O)C(=O)[O-]	core
67	L-methionine zwitterion	CSCC[C@@H](C(=O)[O-])[NH3+]	core
68	L-phenylalanine zwitterion	C1=CC=C(C=C1)C[C@@H](C(=O)[O-])[NH3+]	core
69	L-proline zwitterion	C1C[C@H]([NH2+]C1)C(=O)[O-]	core
70	L-serine zwitterion	C([C@@H](C(=O)[O-])[NH3+])O	core
71	l_threonine	C[C@H]([C@@H](C(=O)O)N)O	core
72	L-tryptophan zwitterion	C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)[O-])[NH3+]	core
73	L-tyrosine zwitterion	C1=CC(=CC=C1C[C@@H](C(=O)[O-])[NH3+])O	core
74	L-valine zwitterion	CC(C)[C@@H](C(=O)[O-])[NH3+]	core
75	alpha-Linolenate	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)[O-]	core
76	Lipoate	C1CSSC1CCCCC(=O)[O-]	core
77	malonyl-CoA(5-)	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])[C@H](C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-])O	core
78	menaquinone	CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C	core
79	methyl_pyruvate	CC(=O)C(=O)OC	core
80	Mevalonate	CC(CCO)(CC(=O)[O-])O	core
81	Propionyl-CoA(4-)	CCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O	core
82	nad+	C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	core
83	NADH(2-)	C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O	core
84	NADP(3-)	C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)([O-])[O-])O)O)O)C(=O)N	core
85	NADPH(4-)	C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)([O-])[O-])O)O)O	core
86	nicotinamide	C1=CC(=CN=C1)C(=O)N	core
87	Orotate	C1=C(NC(=O)NC1=O)C(=O)[O-]	core
88	Oxalacetate	C(C(=O)C(=O)[O-])C(=O)[O-]	core
89	Hexadecanoate	CCCCCCCCCCCCCCCC(=O)[O-]	core
90	Palmitoyl-CoA(4-)	CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O	core
91	phytic_acid	C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O	core
92	prpp	C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O	core
93	Adenosylmethionine	C[S+](CC[C@@H](C(=O)[O-])[NH3+])C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O	core
94	Lactate	CC(C(=O)[O-])O	core
95	Pyruvate	CC(=O)C(=O)[O-]	core
96	Stearoyl-CoA(4-)	CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O	core
97	Succinate	C(CC(=O)[O-])C(=O)[O-]	core
98	thiamine	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO	core
99	thymidine	CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O	core
100	UDP(3-)	C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])[O-])O)O	core
101	uric_acid	C12=C(NC(=O)N1)NC(=O)NC2=O	core
102	uridine	C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O	core
103	UTP(4-)	C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O	core
104	xanthosine	C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)NC2=O	core
105	XMP(2-)	C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])[O-])O)O)NC(=O)NC2=O	core
106	Spermidine	NCCCCNCCCN	non
107	Taurine zwitterion	C(CS(=O)(=O)[O-])[NH3+]	non
108	Itaconate(2-)	C=C(CC(=O)[O-])C(=O)[O-]	non
109	Fumarate	C(=C/C(=O)[O-])\C(=O)[O-]	non
110	Lactosylceramide	CCCCCCCCCCCCCCCCCC(=O)NC(CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)OC2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O)C(/C=C/CCCCCCCCCCCCC)O	non
111	(6S)-5,6,7,8-tetrahydrofolate(2-)	C1[C@@H](NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]	non
112	Glutathione	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O	non
113	Glutathione disulfide(2-)	C(CC(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)[O-])N)C(=O)NCC(=O)[O-])[C@@H](C(=O)O)N	non
114	Methylglyoxal	CC(=O)C=O	non
115	S-Adenosyl-L-homocysteine	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	non
116	AMP(2-)	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])[O-])O)O)N	non
